is_returning,last_reported,num_scooters_unavailable,num_bikes_available,num_ebikes_available,station_id,num_scooters_available,legacy_id,num_docks_available,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,eightd_has_available_keys
1,1709605429,0.0,17,1,66de63cd-0aca-11e7-82f6-3863bb44ef7c,0.0,3422,1,1,0,2,1,False
1,1709605426,0.0,33,17,1b038e21-e199-4c47-bef0-f4bcdc06b73b,0.0,4407,7,1,0,2,1,False
1,1709605424,0.0,21,2,5f63411c-91ce-4788-a567-d388cc812a15,0.0,3505,6,1,0,5,1,False
1,1709605429,0.0,5,0,1917312704757770810,0.0,1917312704757770810,33,1,0,1,1,False
1,1709605431,0.0,8,3,c63a83a0-bda1-40a6-835b-f82c363543b9,0.0,3622,14,1,0,1,1,False
1,1709605433,0.0,27,26,66dde103-0aca-11e7-82f6-3863bb44ef7c,0.0,3284,5,1,0,4,1,False
1,1709605431,0.0,4,1,75352ab4-8a31-4926-8b59-048a9e506452,0.0,3907,12,1,0,1,1,False
1,1709605431,0.0,2,2,816e50eb-dc4b-47dc-b773-154e2020cb0d,0.0,4391,16,1,0,1,1,False
1,1709605431,0.0,23,11,18415ea7-efce-408d-bcb9-4693fb088dda,0.0,4884,6,1,0,5,1,False
1,1709605431,0.0,14,2,1814901062206225038,0.0,1814901062206225038,7,1,0,0,1,False
1,1709605433,0.0,7,1,12279d2b-29f6-4e02-a7f0-244970f7edd5,0.0,3561,19,1,0,0,1,False
1,1709605434,0.0,14,11,18a2cbb6-91f2-4393-82fb-b40a8ba90f20,0.0,4062,9,1,0,0,1,False
1,1709605437,0.0,15,2,00967b8f-1a4d-4131-a65a-17fa8ca89e28,0.0,4815,5,1,0,0,1,False
1,1709605437,0.0,13,3,3d68a3fd-91da-49e8-9cd5-69b333863789,0.0,4456,8,1,0,0,1,False
1,1709605437,0.0,3,1,81a98b0b-cfd6-48b4-90bd-806ebbc264a0,0.0,3661,16,1,0,0,1,False
1,1709605435,0.0,18,0,180b83a0-329c-4069-87be-df862cb1baed,0.0,4378,5,1,0,0,1,False
1,1709605435,0.0,54,34,66db3053-0aca-11e7-82f6-3863bb44ef7c,0.0,152,14,1,0,3,1,False
