num_bikes_available,is_renting,num_docks_available,is_returning,num_ebikes_available,station_id,num_bikes_disabled,legacy_id,last_reported,eightd_has_available_keys,is_installed,num_docks_disabled,num_scooters_unavailable,num_scooters_available
74,1,3,1,13,549b5bc4-b949-4eeb-8ffb-2215e1e49892,3,4281,1709643213,False,1,0,0.0,0.0
8,1,9,1,4,bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,2,4156,1709643213,False,1,0,0.0,0.0
11,1,10,1,10,8d650b03-920d-4d44-a48f-8d9a1a0ba264,0,4451,1709643213,False,1,0,0.0,0.0
2,1,16,1,2,cf1a96a7-f695-4ba2-bcf2-899552e21e47,1,5005,1709643218,False,1,0,0.0,0.0
7,1,20,1,4,d80c274e-d17d-4a00-9b76-274c9fe4d0e1,6,3543,1709643219,False,1,1,0.0,0.0
21,1,7,1,1,1838071008881986168,2,1838071008881986168,1709643217,False,1,0,0.0,0.0
12,1,18,1,0,bacfe3c2-7946-45ed-91f9-f5b91791de75,0,3503,1709643217,False,1,0,0.0,0.0
2,1,21,1,1,1846085439406916338,1,1846085439406916338,1709643217,False,1,0,0.0,0.0
19,1,3,1,3,1854538387432581604,0,1854538387432581604,1709643218,False,1,0,0.0,0.0
17,1,1,1,0,1bb1af93-b433-4da7-8054-009c85f7755a,1,4092,1709643217,False,1,0,0.0,0.0
19,1,1,1,0,a45a712c-1e3d-4fee-bef8-adafafd80670,0,4807,1709643223,False,1,0,0.0,0.0
3,1,15,1,2,59af018a-2ee9-489a-b445-bb6fba9c1119,1,4054,1709643223,False,1,0,0.0,0.0
11,1,12,1,6,c63a83a0-bda1-40a6-835b-f82c363543b9,0,3622,1709643220,False,1,0,0.0,0.0
8,1,13,1,7,1d32e684-602b-46b6-8c96-ab47b57a03f3,3,3549,1709643220,False,1,0,0.0,0.0
11,1,8,1,2,f8c242cd-da59-4f0e-afd6-832bbdd7d328,1,4750,1709643221,False,1,0,0.0,0.0
7,1,11,1,0,d979131e-0b9f-4aa2-88c5-46d4ff94abc8,1,4958,1709643221,False,1,0,0.0,0.0
13,1,8,1,1,1814901062206225038,0,1814901062206225038,1709643220,False,1,0,0.0,0.0
2,1,17,1,2,475c44e1-31e3-4c60-b071-af2ca3f7618c,2,4915,1709643220,False,1,0,0.0,0.0
6,1,17,1,1,c4e9905f-457b-4be0-a878-2aa53fa0b09b,1,3779,1709643220,False,1,0,0.0,0.0
2,1,57,1,2,66dc840f-0aca-11e7-82f6-3863bb44ef7c,1,526,1709643223,False,1,0,0.0,0.0
27,1,3,1,0,66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,1,3109,1709643223,False,1,0,0.0,0.0
11,1,10,1,8,3e1bdcec-e762-4e83-b447-007f05923cce,2,3524,1709643224,False,1,0,0.0,0.0
17,1,2,1,3,b371c432-b682-412f-9b85-8df84ce7a9f3,2,3946,1709643224,False,1,0,0.0,0.0
55,1,13,1,35,66db3053-0aca-11e7-82f6-3863bb44ef7c,3,152,1709643224,False,1,0,0.0,0.0
3,1,15,1,3,816e50eb-dc4b-47dc-b773-154e2020cb0d,1,4391,1709643221,False,1,0,0.0,0.0
10,1,10,1,0,3d68a3fd-91da-49e8-9cd5-69b333863789,1,4456,1709643225,False,1,0,0.0,0.0
20,1,0,1,0,cd2d9dab-7708-4685-a56f-9412c738de7e,3,5063,1709643225,False,1,0,0.0,0.0
9,1,28,1,0,1917312704757770810,2,1917312704757770810,1709643225,False,1,0,0.0,0.0
20,1,23,1,15,66dc7773-0aca-11e7-82f6-3863bb44ef7c,2,503,1709643231,False,1,0,0.0,0.0
11,1,10,1,1,1851674198082642572,1,1851674198082642572,1709643231,False,1,0,0.0,0.0
7,1,17,1,2,5526b855-dc09-4159-a20a-99651861a481,1,4346,1709643232,False,1,0,0.0,0.0
2,1,14,1,1,75352ab4-8a31-4926-8b59-048a9e506452,1,3907,1709643226,False,1,0,0.0,0.0
17,1,6,1,0,180b83a0-329c-4069-87be-df862cb1baed,0,4378,1709643226,False,1,0,0.0,0.0
17,1,6,1,8,0b613329-b8c8-4b8c-ad40-79952aa41157,2,3496,1709643232,False,1,0,0.0,0.0
15,1,7,1,0,c190f78c-77ad-469e-aecc-e2af7bb6d92a,1,4307,1709643232,False,1,0,0.0,0.0
14,1,20,1,12,66dd4d70-0aca-11e7-82f6-3863bb44ef7c,5,3166,1709643232,False,1,1,0.0,0.0
10,1,6,1,6,1860188747953293684,3,1860188747953293684,1709643232,False,1,0,0.0,0.0
20,1,0,1,4,c3062f44-c5b9-4650-a4ec-cc66cbf5b944,1,4578,1709643233,False,1,0,0.0,0.0
15,1,5,1,2,00967b8f-1a4d-4131-a65a-17fa8ca89e28,0,4815,1709643227,False,1,0,0.0,0.0
11,1,12,1,4,66dde76a-0aca-11e7-82f6-3863bb44ef7c,2,3299,1709643228,False,1,0,0.0,0.0
8,1,13,1,6,66de12ff-0aca-11e7-82f6-3863bb44ef7c,1,3343,1709643228,False,1,0,0.0,0.0
12,1,11,1,0,26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,0,4801,1709643228,False,1,0,0.0,0.0
17,1,2,1,3,581bc4fe-cf14-4767-8377-6fa156ff8a29,0,3961,1709643229,False,1,0,0.0,0.0
5,1,13,1,2,38af3d1a-9916-46cf-b22e-86fc8648bf30,3,4094,1709643230,False,1,0,0.0,0.0
19,1,11,1,1,18eccc71-66be-4e4c-8335-095a9bf0df94,3,3629,1709643230,False,1,0,0.0,0.0
43,1,0,1,3,c71cca54-17f6-42bc-ba94-3f5bd9c70197,5,4590,1709643231,False,1,0,0.0,0.0
7,1,21,1,5,74723006-b32f-4590-8cc7-f15eec3808fe,0,3836,1709643236,False,1,0,0.0,0.0
39,1,9,1,4,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,3,3108,1709643236,False,1,0,0.0,0.0
21,1,7,1,4,dccaeeb5-c53a-4f48-80e6-05675b71a8c8,3,3508,1709643237,False,1,0,0.0,0.0
11,1,14,1,1,5645b05e-85be-460d-8506-cacd20bff233,3,4416,1709643237,False,1,1,0.0,0.0
3,1,22,1,0,66de73fd-0aca-11e7-82f6-3863bb44ef7c,0,3430,1709643234,False,1,0,0.0,0.0
16,1,2,1,3,1911424232096693138,0,1911424232096693138,1709643234,False,1,0,0.0,0.0
1,1,21,1,1,b4f990dd-36bb-46b3-9eea-4b980bd43c2d,2,4557,1709643235,False,1,0,0.0,0.0
1,1,20,1,0,1849010133527040242,0,1849010133527040242,1709643235,False,1,0,0.0,0.0
31,1,9,1,16,0138452a-b9f4-4aee-80b0-7fae9a122ffe,1,4279,1709643235,False,1,0,0.0,0.0
21,1,10,1,3,66dc3782-0aca-11e7-82f6-3863bb44ef7c,0,471,1709643236,False,1,0,0.0,0.0
5,1,10,1,5,f681f980-185d-45b9-8490-bb2606624dd4,1,4576,1709643237,False,1,0,0.0,0.0
14,1,3,1,0,99614ecb-2329-49fa-a13a-fa1ef2bb32d6,2,4201,1709643238,False,1,0,0.0,0.0
