num_bikes_available,num_docks_available,num_ebikes_available,station_id,num_bikes_disabled,last_reported,is_installed,num_docks_disabled,time,total_docks,per_num_docks_available,per_num_bikes_available,name,lat,lon,capacity_original,zipCode,capacity_zip_sum
59,14,19,66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,0,1709648324,1,0,2024-03-05 14:18:44,92,15.217391304347828,64.13043478260869,West Thames St,40.70834698,-74.01713445,73,10280,118
2,20,1,753591ba-36f7-4ded-ab7d-40df9994a05f,1,1709648324,1,1,2024-03-05 14:18:44,23,86.95652173913044,8.695652173913043,Madison St & Malcolm X Blvd,40.68713,-73.93008,25,11221,906
24,12,13,66dde208-0aca-11e7-82f6-3863bb44ef7c,2,1709648324,1,0,2024-03-05 14:18:44,49,24.489795918367346,48.97959183673469,E 89 St & 3 Ave,40.7806284,-73.9521667,39,10128,528
3,11,3,7380e377-936d-47d7-8abe-0f666d47465e,7,1709648324,1,0,2024-03-05 14:18:44,17,64.70588235294117,17.647058823529413,W 170 St & University Ave,40.84207,-73.926075,22,10452,570
18,0,0,e92414a8-e72f-4a69-a5a1-7f50f4c881e5,1,1709648324,1,0,2024-03-05 14:18:44,18,0.0,100.0,2 Ave & 43 St,40.65292829363811,-74.01286482810974,19,11232,613
113,1,7,1827839088308194240,6,1709648324,1,0,2024-03-05 14:18:44,121,0.8264462809917356,93.38842975206612,Gansevoort St & Hudson St,40.73937600789778,-74.00520807425661,120,10014,1252
26,0,3,66ddebce-0aca-11e7-82f6-3863bb44ef7c,4,1709648325,1,0,2024-03-05 14:18:45,29,0.0,89.65517241379311,E 97 St & 3 Ave,40.7859201,-73.94860294,30,10029,639
3,23,1,9af90faf-0b9b-451b-9cb0-20ff421ca1d9,1,1709648325,1,0,2024-03-05 14:18:45,27,85.18518518518519,11.11111111111111,E 165 St & Fox St,40.82394,-73.894025,27,10459,482
9,9,3,28a2436d-a52b-4fa4-874c-e096012a926d,1,1709648325,1,0,2024-03-05 14:18:45,21,42.857142857142854,42.857142857142854,9 Ave & W 219 St,40.871094,-73.911503,19,10034,408
1,19,1,66db43b5-0aca-11e7-82f6-3863bb44ef7c,3,1709648325,1,0,2024-03-05 14:18:45,21,90.47619047619048,4.761904761904762,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,23,11205,702
14,13,5,66dced76-0aca-11e7-82f6-3863bb44ef7c,0,1709648325,1,0,2024-03-05 14:18:45,32,40.625,43.75,Broadway & Roebling St,40.70924826276157,-73.96063148975372,27,11211,967
17,4,0,36edabac-a0c2-471b-abaf-73fdb53a4e5f,0,1709648325,1,0,2024-03-05 14:18:45,21,19.047619047619047,80.95238095238095,Cypress Ave & St Felix Ave,40.69559,-73.89927,21,11385,909
23,0,5,7c42f9fc-d280-4841-ad96-e3cc53ee3759,0,1709648325,1,0,2024-03-05 14:18:45,28,0.0,82.14285714285714,Willis Ave & E 143 St,40.812299,-73.92037,23,10454,437
3,16,0,1835250080052323168,0,1709648325,1,0,2024-03-05 14:18:45,19,84.21052631578947,15.789473684210526,97 St & 23 Ave,40.7683,-73.87331,19,11369,564
36,1,2,66db3708-0aca-11e7-82f6-3863bb44ef7c,2,1709648325,1,0,2024-03-05 14:18:45,39,2.564102564102564,92.3076923076923,Old Fulton St,40.70277159,-73.99383605,39,11201,2201
3,19,3,1828965887815635862,1,1709648326,1,0,2024-03-05 14:18:46,25,76.0,12.0,71 St & 37 Ave,40.7488,-73.89451,23,11372,601
21,52,10,454b4a83-d0b1-42a2-8163-261e2a9d6ab9,2,1709648326,1,1,2024-03-05 14:18:46,83,62.65060240963856,25.301204819277107,Lexington Ave & E 26 St,40.741459,-73.983293,80,10010,792
22,1,3,b5010362-af16-4357-8fb7-5958576954c0,6,1709648326,1,1,2024-03-05 14:18:46,26,3.8461538461538463,84.61538461538461,Parade Pl & Crooke Ave,40.651847,-73.965248,30,11226,713
8,9,2,28be450b-7878-4495-add2-61afd94f375a,2,1709648326,1,0,2024-03-05 14:18:46,19,47.368421052631575,42.10526315789473,Ditmars Blvd & 73 St,40.76817,-73.896293,19,11370,481
24,16,3,66dce2a4-0aca-11e7-82f6-3863bb44ef7c,0,1709648326,1,1,2024-03-05 14:18:46,43,37.2093023255814,55.81395348837209,Humboldt St & Varet St,40.7031724,-73.940636,42,11206,831
