num_bikes_disabled;lat;lon;;;
5;4.068.683.208;-739.796.772;;;
0;40.819.609;-73.916.071;;;
2;4.073.752.993.301.070;-7.400.558.933.615.680;;;
2;4.077.163.851;-7.398.261.428;;;
3;40.723.537;-73.985.112;;;
6;4.065.485;-7.396.217;;;
1;40.647.105;-74.004.483;;;
9;4.072.970.805.644.990;-739.865.979.552.269;;;
0;4.073.145;-7.390.022;;;
2;4.085.307;-7.388.953;;;
4;4.068.676.793;-7.395.928.168;;;
0;4.073.988;-7.386.012;;;
1;4.072.403;-7.390.853;;;
1;4.074.086;-7.391.708;;;
2;4.086.571;-7.390.857;;;
4;4.076.196;-7.387.042;;;
0;40.638.196;-74.013.821;;;
6;406.577;-739.398;;;
0;407.614.376;-739.411.265;;;
0;4.073.916;-738.526;;;
0;4.067.297;-7.393.896;;;
2;4.075.742;-73.945.133;;;
5;407.494.985.460.252;-7.397.729.203.113.150;;;
0;40.745.805;-73.950.752;;;
2;4.076.171.227.910.670;-7.398.655.101.656.910;;;
1;40.752.372;-73.925.384;;;
3;4.067.977;-739.847;;;
2;40.750.756;-73.978.326;;;
2;4.067.251;-7.393.642;;;
3;40.808.484;-73.928.803;;;
0;40.697.481;-73.935.877;;;
1;408.802.945;-738.860.653.648;;;
5;4.074.311;-7.385.715;;;
4;408.125.511;-739.492.286;;;
9;4.074.649.996.333.340;-7.399.732.626.293.640;;;
0;4.074.732;-7.391.197;;;
3;4.074.091;-7.390.273;;;
0;4.074.875;-7.386.285;;;
1;40.856.987;-73.898.237;;;
6;4.085.089;-7.388.793;;;
0;4.074.893;-7.389.981;;;
0;4.072.325;-7.394.308;;;
1;4.068.078;-7.394.613;;;
3;4.083.649;-73.918.316;;;
0;4.085.834;-7.391.008;;;
0;40.763.422;-73.914.142;;;
8;4.070.838;-7.400.495;;;
4;4.084.731;-7.389.981;;;
2;407.424;-7.391.808;;;
3;4.085.724;-738.909;;;
1;40.729.803;-73.959.099;;;
0;40.825.322;-73.887.729;;;
7;4.070.469.667.894.960;-7.400.803.416.967.390;;;
0;4.069.969;-739.022;;;
2;4.073.721.535.335.380;-7.402.886.540.972.800;;;
5;4.072.511.734.422.380;-7.399.930.492.043.490;;;
0;4.067.234;-7.394.763;;;
2;407.785.669;-7.397.754.961;;;
7;4.073.726.186;-7.399.238.967;;;
5;4.068.825.516.598.000;-7.399.545.192.718.500;;;
2;40.711.471.394.469.200;-7.398.672.603.070.730;;;
2;4.076.547.569.244.950;-7.391.811.579.465.860;;;
0;4.074.096;-7.385.357;;;
3;4.072.217.444;-7.398.368.779;;;
0;4.069.543;-739.196;;;
3;4.074.562;-7.392.402;;;
0;407.729;-73.916.142;;;
0;4.075.055;-7.386.725;;;
0;4.074.694.504.524.510;-7.389.650.255.441.660;;;
0;40.75;-7.388.062;;;
0;4.067.404;-7.392.772;;;
2;4.074.737.075.646.800;-7.394.777.297.973.630;;;
3;407.839.636;-739.471.673;;;
0;4.078.839;-739.747;;;
1;4.068.663;-739.168;;;
0;408.704.956;-738.818.756.582;;;
0;407.595.701;-739.142.678;;;
0;4.075.297;-7.389.236;;;
1;4.069.812;-7.390.271;;;
0;4.069.953;-7.388.873;;;
2;4.075.892.386.377.690;-7.396.226.227.283.470;;;
1;4.076.521;-7.386.483;;;
2;4.069.545;-7.391.164;;;
2;4.064.269;-7.396.099;;;
5;40.820.877;-73.939.249;;;
2;40.722.767;-73.957.021;;;
2;40.834.263;-73.917.641;;;
3;4.072.229.346;-7.399.147.535;;;
0;40.816.576;-73.927.987;;;
1;4.086.813;-7.388.412;;;
0;407.535.992.020.056;-7.393.795.609.474.180;;;
1;4.083.196;-7.391.956;;;
0;40.744.831;-73.938.411;;;
2;40.715.143;-73.944.507;;;
3;4.069.465;-739.343;;;
5;40.749.156;-739.916;;;
1;407.408.139;-740.274.062;;;
0;4.075.227.093.837.400;-7.398.770.570.755.000;;;
0;4.075.793;-7.388.401;;;
0;4.067.487.503.856.160;-7.401.048.018.571.480;;;
1;40.839.335;-73.886.445;;;
2;4.070.229;-7.390.145;;;
2;40.767.666;-73.910.963;;;
1;40.832.057;-73.927.421;;;
3;40.846.465;-73.903.869;;;
1;40.774.645;-73.923.706;;;
4;40.837.119;-73.902.185;;;
2;4.074.399;-7.386.781;;;
1;4.073.139.303.364.150;-7.398.286.700.248.710;;;
4;40.807.408;-7.391.924;;;
2;40.819.783;-73.936.521;;;
3;4.071.816.969.454.200;-7.395.520.135.760.300;;;
3;4.076.471.851.944.330;-7.396.222.069.859.500;;;
2;4.072.412.944.090.090;-7.397.901.266.813.270;;;
1;40.713.811;-7.393.515;;;
2;40.795;-739.645;;;
1;40.665.816;-73.956.934;;;
2;4.071.107;-73.903;;;
1;40.686.371;-7.399.383.324;;;
2;4.071.323;-7.393.894;;;
0;407.954.121;-739.441.232;;;
0;4.069.178;-7.397.877;;;
1;4.084.696;-7.388.663;;;
3;40.670.529;-73.958.222;;;
1;40.819.241;-73.941.057;;;
2;4.069.539.817;-7.394.954.908;;;
1;40.724.812.564.400.100;-7.394.752.621.650.690;;;
0;4.067.324.785;-7.395.689.517;;;
2;40.824;-7.391.089;;;
6;40.752.568;-73.996.765;;;
1;4.075.996;-7.386.224;;;
0;4.070.055;-738.943;;;
0;4.069.839.895;-7.398.068.914;;;
2;4.066.318;-7.395.076;;;
3;406.610.633.719.006;-7.397.945.255.041.120;;;
1;40.835.334;-739.154;;;
2;4.071.117.416;-7.400.016.545;;;
1;406.533;-7.393.644;;;
1;40.820.036;-73.921.411;;;
0;4.065.378;-7.395.273;;;
0;40.660.079;-73.998.633;;;
5;40.755.293;-73.967.641;;;
2;407.656.251;-739.136.695;;;
1;4.065.686;-7.395.331;;;
0;4.063.766;-7.401.782;;;
3;40.757.525;-73.901.614;;;
2;4.074.591.072.834.270;-7.399.807.110.428.800;;;
6;4.076.019.252;-739.912.551;;;
2;4.073.124;-7.395.161;;;
8;40.839.586;-73.900.277;;;
5;4.073.781.509;-7.399.994.661;;;
3;407.016.657;-739.437.303;;;
0;4.064.725;-7.394.352;;;
4;4.085.985;-7.389.135;;;
1;40.806.896;-73.911.837;;;
1;4.067.686;-7.393.607;;;
1;4.071.246;-7.391.873;;;
2;4.074.619;-7.387.193;;;
2;4.070.166;-7.392.754;;;
3;4.076.590.936;-7.397.634.151;;;
3;4.074.336.608.027.020;-7.395.960.688.591.000;;;
0;40.820.003;-73.959.089;;;
0;4.070.037.867;-7.399.548.059;;;
2;407.770.575;-7.397.898.475;;;
0;4.066.967.356.370.340;-7.398.898.908.183.760;;;
1;4.076.205;-73.895;;;
4;4.081.734;-73.922.962;;;
1;40.803.399;-73.919.763;;;
3;40.718.822;-7.399.596;;;
1;4.068.834;-7.393.306;;;
2;4.068.374;-739.261;;;
0;4.075.473;-7.393.367;;;
1;4.066.288;-7.394.019;;;
0;4.074.454;-7.388.112;;;
0;4.069.474.881;-7.398.362.464;;;
1;406.627.059;-739.569.115;;;
1;40.817.245;-73.938.787;;;
0;4.065.116;-7.394.577;;;
0;407.671;-739.169.858;;;
1;406.831.164;-7.399.785.267;;;
1;406.902.375;-7.399.203.074;;;
1;4.065.326;-7.396.172;;;
2;4.071.924;-7.395.242;;;
5;4.073.026;-7.395.394;;;
5;408.301.283.948.092;-7.388.630.211.353.300;;;
4;4.085.890.447.538.410;-739.230.939.745.903;;;
0;40.650.176;-74.015.606;;;
3;40.842.173;-73.935.111;;;
3;406.773.429;-7.401.275.056;;;
0;40.754.795;-73.917.014;;;
5;408.107.922;-739.430.681;;;
1;40.787.801;-73.953.559;;;
0;40.859.166;-73.933.872;;;
0;4.075.397;-7.385.748;;;
0;406.685.455;-7.399.333.264;;;
2;40.642.809;-73.979.239;;;
4;40.676.368;-73.952.918;;;
1;408.358.771;-738.931.428;;;
1;4.066.016;-73.990.974;;;
4;40.805.159;-73.954.692;;;
0;4.067.922;-7.392.192;;;
1;40.754.164;-73.908.906;;;
3;4.068.753.406;-7.397.265.183;;;
3;40.698.568;-73.918.877;;;
6;4.079.313.480.986.660;-7.397.700.369.358.060;;;
5;407.937.704;-73.971.888;;;
0;40.665.507;-73.993.037;;;
4;4.074.714;-7.397.113;;;
2;40.705.614;-7.392.153;;;
1;40.829.523;-73.944.279;;;
2;40.698.617;-73.941.342;;;
0;40.648.481;-7.397.058;;;
1;407.611.488;-739.170.071;;;
1;406.663.181;-739.854.617;;;
0;4.066.619;-7.393.162;;;
0;40.659.053;-7.398.854;;;
0;4.082.809;-7.391.288;;;
0;408.604.787;-739.057.169.936;;;
1;40.814.046;-7.391.186;;;
2;40.657.743;-74.001.141;;;
0;406.747.055;-740.075.572;;;
4;4.075.763.227.739.440;-7.396.930.575.370.780;;;
0;4.071.832;-7.390.128;;;
0;4.073.832;-7.387.913;;;
1;407.449.067;-739.534.573;;;
3;4.068.851.534;-739.647.628;;;
2;40.702.831;-739.333;;;
2;408.086.249;-739.596.214;;;
0;40.854.123.869.116;-7.389.932.222.664.350;;;
1;40.831.998;-73.892.686;;;
1;406.772.744;-7.398.282.002;;;
0;4.076.408.932.350.680;-7.391.065.120.697.020;;;
2;4.068.539.567;-7.397.431.458;;;
3;4.066.732;-7.393.398;;;
1;407.107;-7.390.525;;;
1;4.065.153;-7.396.277;;;
2;4.076.138;-7.386.035;;;
2;4.074.431;-7.392.601;;;
0;4.068.763.155;-740.016.256;;;
1;40.791.976;-73.945.993;;;
1;4.074.615;-7.387.763;;;
0;40.710.681;-7.393.372;;;
1;4.065.624;-7.400.933;;;
2;4.075.510.267;-7.397.498.696;;;
1;40.819.746;-73.951.819;;;
0;40.761.294;-73.909.562;;;
0;4.067.351;-7.393.363;;;
6;40.749.717.753;-74.002.950.346;;;
8;40.673.746;-73.985.649;;;
2;4.082.923;-73.936.996;;;
1;4.075.934.501;-7.396.759.673;;;
0;4.070.514.807.698.390;-7.397.078.096.866.600;;;
2;40.837.213;-73.908.345;;;
0;4.067.372;-7.392.199;;;
1;40.644.512;-74.021.506;;;
3;4.072.467.721;-7.398.783.413;;;
3;4.074.232.744;-7.395.411.749;;;
0;4.071.413.311;-7.395.234.386;;;
0;4.067.113;-7.394.222;;;
5;4.071.173.107;-7.399.193.043;;;
0;4.070.934;-7.395.608;;;
0;4.075.499;-7.388.905;;;
2;4.073.795;-7.398.509;;;
0;4.075.255.434;-7.397.282.625;;;
2;40.740.821.207.823.200;-7.393.147.185.444.830;;;
1;4.082.319.448.542.350;-7.388.762.910.982.090;;;
5;40.734.232;-73.986.923;;;
0;4.071.069.995;-7.400.354.147;;;
5;40.839.229;-73.899.047;;;
2;4.075.973.805.251.140;-7.397.811.613.976.950;;;
1;4.085.501;-73.910.751;;;
2;406.758.324;-739.561.677;;;
3;40.843.965;-73.920.999;;;
1;40.752.694;-74.002.353;;;
0;4.065.815;-7.395.674;;;
3;4.075.461;-7.399.177;;;
1;4.074.908;-7.389.172;;;
2;4.075.958;-7.388.219;;;
1;4.069.221.589;-739.842.844;;;
0;4.088.226;-7.388.702;;;
1;4.071.790.852.734.050;-73.908.454.477.787;;;
3;4.069.072.549;-7.395.133.465;;;
2;4.075.001.640.425.930;-7.391.540.944.576.260;;;
2;4.065.272;-7.394.994;;;
1;4.067.686;-7.393.327;;;
4;40.758.397;-7.398.255;;;
2;406.786;-7.390.369;;;
1;4.066.026;-7.396.045;;;
4;40.826.706;-73.888.719;;;
2;4.068.332;-7.391.711;;;
2;4.072.228.087;-7.397.668.709;;;
0;4.067.607;-7.392.171;;;
0;40.808.891;-7.391.081;;;
1;40.823.061;-73.941.928;;;
3;40.809.725;-73.953.149;;;
2;4.074.436.328.706.680;-739.558.732.509.613;;;
1;4.087.142;-7.388.839;;;
1;40.827.230.499.624.700;-7.391.765.579.597.630;;;
3;4.068.542.400.997.010;-7.399.127.773.940.560;;;
8;4.076.153.045.158.110;-7.399.007.007.479.660;;;
4;4.073.921;-7.386.887;;;
0;40.81;-739.551.508;;;
0;4.074.252;-73.948.852;;;
6;40.804.372;-73.951.475;;;
5;40.778.301;-739.488.134;;;
1;40.762.507;-73.902.534;;;
2;4.072.368;-7.390.458;;;
2;40.862.058;-73.929.719;;;
2;4.077.301.508.291.380;-7.391.119.033.098.220;;;
2;40.754.176;-73.900.318;;;
0;40.799.139;-739.389.152;;;
1;4.073.707;-7.390.077;;;
0;4.066.876;-7.393.376;;;
2;40.642.501;-74.006.055;;;
1;40.811.112;-73.914.932;;;
0;4.074.463;-7.387.386;;;
0;4.075.951;-7.386.491;;;
4;40.826.969;-73.949.738;;;
1;40.638.566;-74.010.147;;;
0;4.074.364;-7.388.622;;;
2;40.676.757;-73.983.262;;;
2;40.844.075;-73.917.256;;;
0;4.065.399;-7.392.967;;;
2;407.973.721;-7.397.041.192;;;
0;4.070.497;-7.389.965;;;
2;4.070.991.806.921.530;-7.399.161.100.387.570;;;
4;40.775.744;-739.563.752;;;
0;407.739.825;-739.309.134;;;
1;4.070.067;-7.389.907;;;
1;40.872.412;-73.912.807;;;
5;4.073.342.399.437.080;-7.400.851.495.563.980;;;
1;4.084.616;-7.389.322;;;
5;4.084.096;-7.387.923;;;
1;407.475.739.589.548;-739.788.007.736.206;;;
1;40.672.784;-73.979.826;;;
5;40.762.009;-73.996.975;;;
3;4.073.652.889;-7.400.618.026;;;
0;4.075.326;-7.390.585;;;
6;4.076.009.437;-7.399.461.843;;;
2;40.702.709;-7.399.253;;;
1;4.066.227;-7.393.762;;;
3;4.068.186;-73.959.432;;;
1;40.851.113;-73.928.808;;;
2;4.074.731;-7.395.451;;;
3;407.767;-73.927.631;;;
2;4.069.608.941;-7.397.803.415;;;
1;4.065.707;-7.395.005;;;
2;40.819.701;-73.901.311;;;
0;40.652.657;-74.002.356;;;
3;4.074.653.761.978.050;-7.393.215.849.995.610;;;
0;4.076.428;-7.389.156;;;
2;40.677.236;-74.015.665;;;
5;406.847.514;-7.399.917.254;;;
0;4.075.704;-738.924;;;
3;4.070.366.170.524.130;-740.131.813.287.735;;;
0;407.692.475;-739.354.504;;;
0;40.654.098;-74.001.131;;;
1;40.731.734.785.883.400;-739.612.390.102.593;;;
1;40.640.493;-7.402.564;;;
2;407.746.671;-7.398.470.567;;;
1;40.826.406;-73.937.948;;;
1;407.638.753;-739.364.848;;;
0;407.728.384;-7.394.989.233;;;
1;4.068.158;-7.391.959;;;
7;408.078.316;-73.949.373;;;
1;40.774.591;-73.918.544;;;
1;4.074.154;-7.387.484;;;
0;4.084.627.592.921.950;-7.390.931.278.467.170;;;
6;40.763.189;-73.978.434;;;
0;4.088.224;-7.389.136;;;
1;40.814.232;-73.903.927;;;
1;4.070.870.368;-739.448.625;;;
3;406.893.952;-739.995.126;;;
3;4.071.739.973;-7.398.016.555;;;
1;406.988;-739.007;;;
2;407.921;-739.739;;;
2;40.810.893;-73.927.311;;;
1;4.066.343;-7.393.472;;;
0;4.066.929;-7.393.679;;;
2;4.073.481;-7.387.431;;;
1;4.070.355.377;-7.400.670.227;;;
0;407.701.477;-739.120.938;;;
