num_bikes_available;num_ebikes_available;station_id;legacy_id;num_docks_available;is_installed;num_docks_disabled;num_bikes_disabled;name;has_kiosk;lat;lon;capacity_original;zipCode;capacity_zip_sum;
6;1;a6a132f9-89bf-42a4-afe6-1ca449b7f570;3878;12;1;0;1;Cypress Ave & George St;True;4.069.812;-7.390.271;19;11385;909;
7;2;4775fd25-2240-44d7-884a-d777d15a9b5e;4173;14;1;0;0;Longfellow Ave & E 165 St;True;40.825.322;-73.887.729;21;10459;482;
38;5;99142ec8-c0e7-47ca-916c-c1097d48e133;4341;1;1;0;1;Market St & Henry St;True;4.071.310.702.305.900;-7.399.446.353.316.300;42;10002;1558;
17;0;324af152-33ea-48a7-8bb0-ad8b6f31571f;3479;26;1;0;2;Picnic Point;True;4.068.512.559.515.410;-7.402.535.319.328.300;45;11231;986;
3;2;c45aa693-fedd-478f-ade9-bf176c4e32ff;5018;14;1;0;2;Crown St & Troy Ave;True;4.066.559;-7.393.712;20;11213;698;
2;0;0927e331-866f-4d99-99b4-04edde99117a;3621;37;1;0;0;27 Ave & 9 St;True;407.739.825;-739.309.134;40;11102;414;
10;0;fe65853e-b20a-4250-9677-2aa177283b72;4000;9;1;0;2;Lenox Ave & W 144 St;True;40.819.783;-73.936.521;22;10037;178;
0;0;1,88064E+18;1,88064E+18;27;1;0;3;Eastern Pkwy & Franklin Ave (SW Corner);True;40.670.529;-73.958.222;30;11225;718;
32;2;32c60668-a192-4d06-aa7c-6d6f7aed6b45;3588;6;1;1;2;Vernon Blvd & 10 St;True;407.671.863;-739.373.554;41;11106;571;
1;1;7d9a1b9e-0123-4561-a111-b3735fada687;4107;20;1;0;3;E 170 St & Clay Ave;True;40.837.213;-73.908.345;24;10456;607;
30;1;66ddef96-0aca-11e7-82f6-3863bb44ef7c;3318;9;1;0;5;2 Ave & E 96 St;True;407.839.636;-739.471.673;45;10128;528;
