is_returning,last_reported,num_scooters_unavailable,num_bikes_available,num_ebikes_available,station_id,num_scooters_available,legacy_id,num_docks_available,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,eightd_has_available_keys,eightd_station_services,name,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity_original,eightd_has_key_dispenser,zipCode,capacity_zip_sum
1,1709605448,0.0,2,0,1835249448692130546,0.0,1835249448692130546,20,1,0,0,1,False,[],102 St & 34 Ave,True,classic,,40.75584,False,-73.86621,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",22,False,11368,996
1,1709605448,0.0,12,1,1849009794224623642,0.0,1849009794224623642,7,1,0,1,1,False,[],47 Ave & 104 St,True,classic,,40.7458,False,-73.85945,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11368,996
0,1708955737,,0,0,606c7384-75e9-4988-858a-07b88b3a9413,,3818,0,0,0,0,0,False,[],Calyer St & Jewel St,True,classic,71.0,40.72984,False,-73.94839,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40,False,11222,1314
1,1709605449,0.0,15,3,f3525aa7-9d69-4ea2-9278-4df92db1afa1,0.0,4353,4,1,0,3,1,False,[],Prospect Ave & Vanderbilt St,True,classic,71.0,40.653368,False,-73.976291,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",22,False,11218,736
1,1709605449,0.0,20,1,6cb5fac5-f7e8-4ec9-94cf-816771d91ecd,0.0,4290,8,1,0,1,1,False,[],20 Ave & 38 St,True,classic,71.0,40.777112,False,-73.902382,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",29,False,11105,731
1,1709605450,0.0,3,1,4956ad8b-06d6-4af4-bcc8-735c45439608,0.0,4850,13,1,0,2,1,False,[],Cypress Hills St & Otto Rd,True,classic,71.0,40.70204,False,-73.89288,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11385,909
1,1709605447,0.0,15,1,b79bb851-130f-473d-83fc-f602aa0a4ca9,0.0,4016,7,1,0,0,1,False,[],Adam Clayton Powell Blvd & W 130 St,True,classic,71.0,40.812346,False,-73.946168,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",22,False,10027,668
1,1709605447,0.0,5,5,16836c76-c412-4ec3-bac8-3c6a5a3d9745,0.0,3909,15,1,0,0,1,False,[],Madison St & Woodward Ave,True,classic,71.0,40.70408,False,-73.90408,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",20,False,11385,909
1,1709605447,0.0,74,14,c466f15e-715f-411e-904e-1a71fb574cdd,0.0,4693,4,1,0,7,1,False,[],7 Ave S & Bleecker St,True,classic,71.0,40.73213896287381,False,-74.00363802909851,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",87,False,10014,1252
1,1709605448,0.0,1,1,74f913d2-6eac-49ce-bd6d-53a06fa855a6,0.0,4924,20,1,1,0,1,False,[],St Johns Pl & Kingston Ave,True,classic,71.0,40.67113,False,-73.94222,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",22,False,11213,698
1,1709605453,0.0,42,3,66dbf362-0aca-11e7-82f6-3863bb44ef7c,0.0,408,1,1,0,2,1,False,[],Market St & Cherry St,True,classic,71.0,40.71076228,False,-73.99400398,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",45,False,10002,1558
1,1709605457,0.0,8,4,66dea8ff-0aca-11e7-82f6-3863bb44ef7c,0.0,3462,29,1,0,2,1,False,[],E 44 St & 2 Ave,True,classic,71.0,40.75118387463277,False,-73.97138714790344,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",39,False,10017,807
1,1709605458,0.0,24,12,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,0.0,512,1,1,0,4,1,False,[],W 29 St & 9 Ave,True,classic,71.0,40.7500727,False,-73.99839279,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",29,False,10001,1144
1,1709605457,0.0,10,2,66dc8d1d-0aca-11e7-82f6-3863bb44ef7c,0.0,546,53,1,0,2,1,False,[],E 30 St & Park Ave S,True,classic,71.0,40.74444921,False,-73.98303529,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",65,False,10016,1219
1,1709605454,0.0,38,8,66db3816-0aca-11e7-82f6-3863bb44ef7c,0.0,223,5,1,0,4,1,False,[],W 13 St & 7 Ave,True,classic,71.0,40.73781509,False,-73.99994661,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",47,False,10011,1628
1,1709605458,0.0,22,0,1dba415a-2c46-419e-838d-7e068b8d7d6f,0.0,4389,1,1,0,0,1,False,[],47 St & 3 Ave,True,classic,71.0,40.649143,False,-74.012384,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,11220,832
1,1709605456,0.0,14,0,1834145204469569922,0.0,1834145204469569922,10,1,0,1,1,False,[],34 Ave & 74 St,True,classic,,40.75297,False,-73.89236,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,11372,601
