eightd_station_services,name,station_id,has_kiosk,station_type,region_id,lat,electric_bike_surcharge_waiver,lon,rental_methods,rental_uris,capacity,eightd_has_key_dispenser,zipCode
[],21 St & 43 Ave,66dd2786-0aca-11e7-82f6-3863bb44ef7c,True,classic,71,40.75052534,False,-73.94594845,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",27,False,11101
[],Broadway & W 25 St,daefc84c-1b16-4220-8e1f-10ea4866fdc7,True,classic,71,40.74286877312112,False,-73.98918628692627,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",109,False,10010
[],37 Ave & 106 St,1828969726487003714,True,classic,,40.75397,False,-73.862,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",19,False,11368
[],79 St & 37 Ave,1836581441921155232,True,classic,,40.74937,False,-73.88714,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,11372
[],Morgan Ave & Maspeth Ave,467e1de6-73a6-480f-9e83-fd1b03b71047,True,classic,71,40.716657,False,-73.93637,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,11211
[],Bronx Shore Comfort Station,3db2fa34-0b56-4644-9ae9-bbee1583e717,True,classic,71,40.80046,False,-73.92404,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",25,False,10035
[],20 Ave & 48 St,c02864f0-2611-440b-98f4-45fddfd545fe,True,classic,71,40.772899,False,-73.896849,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,11105
[],31 Ave & 34 St,0e5be726-2452-42a0-9be8-ea85c8408e4c,True,classic,71,40.763154,False,-73.920827,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",23,False,11106
[],Amsterdam Ave & W 125 St,7f8cb36a-2bf4-4d57-afbd-331310f25355,True,classic,71,40.813358,False,-73.956461,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",39,False,10027
[],39 Ave & 99 St,1854537815365165328,True,classic,,40.74962,False,-73.86677,"['KEY', 'CREDITCARD']","{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",21,False,11368
